,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,pue,uni,63,54,1.190050599720947,0.001,2.4861203964068523,0.166,0.0014960629921259843,0.1958641975308642
1,pue,ind,63,22,4.8382492603731135,0.001,211.10568487630835,0.001,0.0014960629921259843,0.0028787878787878787
2,pue,nig,63,42,1.6897381252081483,0.001,20.43477694908819,0.004,0.0014960629921259843,0.00826086956521739
3,pue,gut,63,10,1.5342143511522843,0.001,112.56296995191117,0.064,0.0014960629921259843,0.08216216216216217
4,pue,abe,63,29,1.1213363008225432,0.001,16.68156701440113,0.255,0.0014960629921259843,0.2923076923076923
5,pue,gum,63,14,3.05097916472416,0.001,417.1872225410559,0.001,0.0014960629921259843,0.0028787878787878787
6,pue,aff,63,7,1.2553638485881122,0.001,228.82076371996237,0.009,0.0014960629921259843,0.01583333333333333
7,pue,tan,63,9,1.5959827431704077,0.001,193.14424003837863,0.001,0.0014960629921259843,0.0028787878787878787
8,pue,chl,63,15,1.3948146498503766,0.001,98.33427245107369,0.006,0.0014960629921259843,0.0114
9,pue,ran,63,16,1.1987673855598704,0.001,45.18533561969324,0.41,0.0014960629921259843,0.45028901734104043
10,pue,pro,63,4,1.3629258063705083,0.001,527.9025402798577,0.001,0.0014960629921259843,0.0028787878787878787
11,pue,atl,63,8,9.238737487270773,0.001,315.3090382199133,0.001,0.0014960629921259843,0.0028787878787878787
12,pue,cas,63,2,1.366779531637354,0.001,1106.4392175404157,0.001,0.0014960629921259843,0.0028787878787878787
13,pue,gem,63,9,1.5231718879108904,0.001,135.33308747777744,0.111,0.0014960629921259843,0.13606451612903225
14,pue,eco,63,3,2.2535230988643056,0.001,699.599179764559,0.001,0.0014960629921259843,0.0028787878787878787
15,pue,esp,63,3,1.217245293031597,0.001,650.7282063791682,0.001,0.0014960629921259843,0.0028787878787878787
16,pue,flo,63,4,2.1506763441401002,0.001,363.8666952420096,0.001,0.0014960629921259843,0.0028787878787878787
17,pue,lib,63,3,1.3478559102543848,0.001,695.2124735061234,0.001,0.0014960629921259843,0.0028787878787878787
18,pue,may,63,10,1.9070603340216286,0.001,259.92477461638657,0.001,0.0014960629921259843,0.0028787878787878787
19,uni,ind,54,22,4.909579644892661,0.001,214.8587247288666,0.001,0.0014960629921259843,0.0028787878787878787
20,uni,nig,54,42,1.858773508391816,0.001,12.519609266225638,0.008,0.0014960629921259843,0.014476190476190476
21,uni,gut,54,10,1.4879125741254187,0.001,148.91173105023023,0.031,0.0014960629921259843,0.04330882352941176
22,uni,abe,54,29,1.2150389628989269,0.001,11.156756783487685,0.541,0.0014960629921259843,0.5807344632768362
23,uni,gum,54,14,3.046819916126091,0.001,576.6128601197697,0.001,0.0014960629921259843,0.0028787878787878787
24,uni,aff,54,7,1.3342237311688578,0.001,343.11465717401484,0.001,0.0014960629921259843,0.0028787878787878787
25,uni,tan,54,9,1.5714549111779825,0.001,283.489539145778,0.001,0.0014960629921259843,0.0028787878787878787
26,uni,chl,54,15,1.4281113634760876,0.001,121.77941981518627,0.007,0.0014960629921259843,0.012912621359223301
27,uni,ran,54,16,1.2311764793463105,0.001,48.01211956118368,0.535,0.0014960629921259843,0.5775568181818183
28,uni,pro,54,4,1.3606961715637722,0.001,839.9753182112042,0.001,0.0014960629921259843,0.0028787878787878787
29,uni,atl,54,8,9.207884472400162,0.001,283.6754611791826,0.001,0.0014960629921259843,0.0028787878787878787
30,uni,cas,54,2,1.3712711806480298,0.002,1810.3240697363547,0.004,0.002814814814814815,0.00826086956521739
31,uni,gem,54,9,1.5252399512021932,0.001,182.2448915449454,0.046,0.0014960629921259843,0.06198581560283688
32,uni,eco,54,3,2.2662100900544555,0.001,1124.0129422766704,0.001,0.0014960629921259843,0.0028787878787878787
33,uni,esp,54,3,1.177844630347007,0.001,1043.9915976860955,0.011,0.0014960629921259843,0.018660714285714287
34,uni,flo,54,4,2.1561478857036884,0.001,535.1662245078934,0.001,0.0014960629921259843,0.0028787878787878787
35,uni,lib,54,3,1.381703913435608,0.001,1120.5828064383452,0.001,0.0014960629921259843,0.0028787878787878787
36,uni,may,54,10,1.9729535645160983,0.001,316.9603973383509,0.001,0.0014960629921259843,0.0028787878787878787
37,ind,nig,22,42,4.938316552392619,0.001,141.36552211151462,0.001,0.0014960629921259843,0.0028787878787878787
38,ind,gut,22,10,3.1674552431709615,0.001,1.8176677846898626,0.524,0.0014960629921259843,0.5689142857142857
39,ind,abe,22,29,4.252364287500989,0.001,101.18408618715705,0.001,0.0014960629921259843,0.0028787878787878787
40,ind,gum,22,14,5.0967007174711165,0.001,11.261671645737115,0.002,0.0014960629921259843,0.004810126582278481
41,ind,aff,22,7,2.72990446596854,0.001,6.149864166273266,0.361,0.0014960629921259843,0.3987790697674418
42,ind,tan,22,9,3.2619945295937556,0.001,0.6417510734500145,0.814,0.0014960629921259843,0.854475138121547
43,ind,chl,22,15,3.8758636434502174,0.001,11.911144289516283,0.005,0.0014960629921259843,0.00979381443298969
44,ind,ran,22,16,3.400177434476158,0.001,29.08884064132004,0.001,0.0014960629921259843,0.0028787878787878787
45,ind,pro,22,4,2.283694576510445,0.001,79.76241748792941,0.001,0.0014960629921259843,0.0028787878787878787
46,ind,atl,22,8,10.667601398795545,0.001,56.15345456488705,0.001,0.0014960629921259843,0.0028787878787878787
47,ind,cas,22,2,1.9811029621632341,0.003,279.61020932801176,0.003,0.0038775510204081634,0.006551724137931035
48,ind,gem,22,9,3.0091329469840096,0.001,0.0861636905087345,0.959,0.0014960629921259843,0.9849189189189188
49,ind,eco,22,3,3.123932214836079,0.001,138.0162095727873,0.001,0.0014960629921259843,0.0028787878787878787
50,ind,esp,22,3,2.0483587177451303,0.002,124.79367468871787,0.002,0.002814814814814815,0.004810126582278481
51,ind,flo,22,4,3.1691248345616008,0.001,44.9367985143378,0.001,0.0014960629921259843,0.0028787878787878787
52,ind,lib,22,3,2.0402808418998353,0.002,136.7006710292976,0.002,0.002814814814814815,0.004810126582278481
53,ind,may,22,10,3.3844343986703427,0.001,7.937460407382384,0.167,0.0014960629921259843,0.1958641975308642
54,nig,gut,42,10,1.809846042963813,0.001,111.02144471467068,0.004,0.0014960629921259843,0.00826086956521739
55,nig,abe,42,29,1.4611006370501975,0.001,0.06279821090070996,0.989,0.0014960629921259843,1.0
56,nig,gum,42,14,3.2369006258735262,0.001,495.7994631257423,0.001,0.0014960629921259843,0.0028787878787878787
57,nig,aff,42,7,1.2510974363086005,0.001,317.40210965873166,0.03,0.0014960629921259843,0.04285714285714286
58,nig,tan,42,9,1.8713028428053764,0.001,248.55214297294728,0.001,0.0014960629921259843,0.0028787878787878787
59,nig,chl,42,15,1.777952834318857,0.001,78.12715713990141,0.044,0.0014960629921259843,0.05971428571428571
60,nig,ran,42,16,1.4356016185093883,0.001,21.036918507973155,0.823,0.0014960629921259843,0.8591758241758242
61,nig,pro,42,4,1.308915278503529,0.001,876.2226493282836,0.001,0.0014960629921259843,0.0028787878787878787
62,nig,atl,42,8,9.426362032290191,0.001,209.94142709704303,0.001,0.0014960629921259843,0.0028787878787878787
63,nig,cas,42,2,1.4541637209679645,0.001,1995.9459084724936,0.003,0.0014960629921259843,0.006551724137931035
64,nig,gem,42,9,1.677411510301518,0.001,143.40333671210522,0.014,0.0014960629921259843,0.02254237288135593
65,nig,eco,42,3,2.3901594556692487,0.001,1200.1462281383124,0.001,0.0014960629921259843,0.0028787878787878787
66,nig,esp,42,3,1.3570138564533707,0.001,1111.419200327591,0.001,0.0014960629921259843,0.0028787878787878787
67,nig,flo,42,4,2.3087734365307093,0.001,513.4230415490606,0.001,0.0014960629921259843,0.0028787878787878787
68,nig,lib,42,3,1.4385291592227878,0.001,1200.1659680957841,0.001,0.0014960629921259843,0.0028787878787878787
69,nig,may,42,10,1.994748179822993,0.001,248.92157098767294,0.002,0.0014960629921259843,0.004810126582278481
70,gut,abe,10,29,1.3908832766926273,0.001,90.28587953669904,0.072,0.0014960629921259843,0.09059602649006622
71,gut,gum,10,14,1.952480036077135,0.001,49.28916979645277,0.001,0.0014960629921259843,0.0028787878787878787
72,gut,aff,10,7,1.4985746032669225,0.001,45.02003734182056,0.014,0.0014960629921259843,0.02254237288135593
73,gut,tan,10,9,1.386563669357145,0.001,15.622469756146225,0.002,0.0014960629921259843,0.004810126582278481
74,gut,chl,10,15,1.4030837299725167,0.001,6.700293808099724,0.788,0.0014960629921259843,0.8317777777777778
75,gut,ran,10,16,1.32869012456548,0.001,22.944790136104473,0.26,0.0014960629921259843,0.2923076923076923
76,gut,pro,10,4,1.390155403428588,0.002,357.1113527337335,0.007,0.002814814814814815,0.012912621359223301
77,gut,atl,10,8,7.18479105495744,0.001,32.0051186414629,0.001,0.0014960629921259843,0.0028787878787878787
78,gut,cas,10,2,1.41687086704038,0.014,1139.9146549184302,0.013,0.015555555555555555,0.02129310344827586
79,gut,gem,10,9,1.4721651291941056,0.001,2.0753672900893205,0.323,0.0014960629921259843,0.361
80,gut,eco,10,3,2.1636240517277265,0.005,565.754951836863,0.008,0.006168831168831169,0.014476190476190476
81,gut,esp,10,3,1.251104622619569,0.009,514.0468349095461,0.065,0.01049079754601227,0.08288590604026846
82,gut,flo,10,4,2.035776103914157,0.003,125.83900304676104,0.002,0.0038775510204081634,0.004810126582278481
83,gut,lib,10,3,1.5169617092446686,0.003,578.8318771598902,0.002,0.0038775510204081634,0.004810126582278481
84,gut,may,10,10,1.975436716732039,0.001,19.067289082710673,0.001,0.0014960629921259843,0.0028787878787878787
85,abe,gum,29,14,2.632682747789313,0.001,404.7529856805295,0.001,0.0014960629921259843,0.0028787878787878787
86,abe,aff,29,7,1.2226731407789766,0.001,275.3575235628288,0.02,0.0014960629921259843,0.030158730158730163
87,abe,tan,29,9,1.5382953045792178,0.001,215.0104827091136,0.001,0.0014960629921259843,0.0028787878787878787
88,abe,chl,29,15,1.37699853737173,0.001,62.02304215216775,0.011,0.0014960629921259843,0.018660714285714287
89,abe,ran,29,16,1.112562824939343,0.001,15.560501521928627,0.66,0.0014960629921259843,0.7005586592178771
90,abe,pro,29,4,1.3471142186274307,0.001,774.7596964209214,0.001,0.0014960629921259843,0.0028787878787878787
91,abe,atl,29,8,8.57922449962844,0.001,144.2535862348841,0.001,0.0014960629921259843,0.0028787878787878787
92,abe,cas,29,2,1.3607279713967533,0.002,1776.7286968076241,0.002,0.002814814814814815,0.004810126582278481
93,abe,gem,29,9,1.4969525565455226,0.001,116.85702197650026,0.16,0.0014960629921259843,0.1911949685534591
94,abe,eco,29,3,2.2093803477369542,0.001,1060.6834127264603,0.001,0.0014960629921259843,0.0028787878787878787
95,abe,esp,29,3,1.2067560549704521,0.001,981.8857174891089,0.029,0.0014960629921259843,0.04206106870229007
96,abe,flo,29,4,2.1021090730904106,0.001,426.85516618067425,0.001,0.0014960629921259843,0.0028787878787878787
97,abe,lib,29,3,1.3709816830533328,0.001,1064.1534068880849,0.001,0.0014960629921259843,0.0028787878787878787
98,abe,may,29,10,1.785365514334784,0.001,188.91758526437454,0.001,0.0014960629921259843,0.0028787878787878787
99,gum,aff,14,7,2.194267259214678,0.001,0.00029784661545306367,0.998,0.0014960629921259843,1.0
100,gum,tan,14,9,2.4891246260942066,0.001,16.36430387097544,0.018,0.0014960629921259843,0.027804878048780485
101,gum,chl,14,15,2.601775200808167,0.001,123.49250844050962,0.001,0.0014960629921259843,0.0028787878787878787
102,gum,ran,14,16,2.430846997536605,0.001,165.08797360276753,0.001,0.0014960629921259843,0.0028787878787878787
103,gum,pro,14,4,2.01987312346576,0.001,211.12226021541622,0.001,0.0014960629921259843,0.0028787878787878787
104,gum,atl,14,8,9.295343966909781,0.001,29.611033188772325,0.001,0.0014960629921259843,0.0028787878787878787
105,gum,cas,14,2,1.8404081518077675,0.01,1032.5110010948165,0.009,0.011515151515151515,0.01583333333333333
106,gum,gem,14,9,2.5080462716550778,0.001,24.468022814281404,0.003,0.0014960629921259843,0.006551724137931035
107,gum,eco,14,3,2.7815030834385936,0.006,428.7717278305667,0.001,0.007261146496815286,0.0028787878787878787
108,gum,esp,14,3,1.7881599338267997,0.003,380.85590052464266,0.005,0.0038775510204081634,0.00979381443298969
109,gum,flo,14,4,2.767245035422817,0.001,67.27196801371188,0.002,0.0014960629921259843,0.004810126582278481
110,gum,lib,14,3,1.940415853279912,0.003,434.10837058434873,0.002,0.0038775510204081634,0.004810126582278481
111,gum,may,14,10,2.8804588007481784,0.001,0.12330711722205054,0.862,0.0014960629921259843,0.8949726775956284
112,aff,tan,7,9,1.5308946028090218,0.001,30.01049750628411,0.005,0.0014960629921259843,0.00979381443298969
113,aff,chl,7,15,1.441540150008485,0.001,104.72184402941818,0.054,0.0014960629921259843,0.07075862068965517
114,aff,ran,7,16,1.218967832599929,0.001,119.03243386868697,0.098,0.0014960629921259843,0.12169934640522877
115,aff,pro,7,4,1.3582437657155433,0.007,529.1134666848354,0.003,0.008417721518987342,0.006551724137931035
116,aff,atl,7,8,6.582941582297473,0.001,14.431844777374561,0.001,0.0014960629921259843,0.0028787878787878787
117,aff,cas,7,2,1.4251307632474932,0.027,3022.8296842678324,0.03,0.02882022471910112,0.04285714285714286
118,aff,gem,7,9,1.4785311915351442,0.001,21.72133429386733,0.256,0.0014960629921259843,0.2923076923076923
119,aff,eco,7,3,2.1186727114410564,0.009,996.7280200755123,0.013,0.01049079754601227,0.02129310344827586
120,aff,esp,7,3,1.320776921856115,0.012,880.6779517828354,0.01,0.01349112426035503,0.017272727272727273
121,aff,flo,7,4,1.9724197878719174,0.003,60.9004570232012,0.019,0.0038775510204081634,0.02911290322580645
122,aff,lib,7,3,1.396443235160741,0.009,1144.105275798087,0.009,0.01049079754601227,0.01583333333333333
123,aff,may,7,10,1.6017572739425527,0.001,0.0804825386296185,0.959,0.0014960629921259843,0.9849189189189188
124,tan,chl,9,15,1.229005579463314,0.001,56.20799819897864,0.017,0.0014960629921259843,0.02669421487603306
125,tan,ran,9,16,1.4305922325669513,0.001,80.42971026482978,0.012,0.0014960629921259843,0.02017699115044248
126,tan,pro,9,4,1.4734145088255082,0.001,1040.2845479902135,0.002,0.0014960629921259843,0.004810126582278481
127,tan,atl,9,8,7.111642448503221,0.001,23.56177162077675,0.001,0.0014960629921259843,0.0028787878787878787
128,tan,cas,9,2,1.475875164096874,0.015,4857.963615355068,0.015,0.016569767441860464,0.02375
129,tan,gem,9,9,1.5504637359861948,0.001,3.5905539816549474,0.007,0.0014960629921259843,0.012912621359223301
130,tan,eco,9,3,2.220161641138356,0.004,1724.4084832072335,0.005,0.005066666666666666,0.00979381443298969
131,tan,esp,9,3,1.3458094760134143,0.008,1542.233905794609,0.004,0.009559748427672956,0.00826086956521739
