,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,qui,bel,12,66,1.0167704567853755,0.284,39.43239477469415,0.659,0.29235294117647054,0.7733870967741936
1,qui,boc,12,46,1.2455466898955647,0.002,24.862377138809087,0.599,0.003888888888888889,0.7399411764705882
2,qui,gun,12,16,1.0601175259630273,0.137,2.4180730181862464,0.423,0.14385,0.6894078947368422
3,qui,bar,12,11,1.4384858564143372,0.001,7.239937678782528,0.036,0.0022340425531914895,0.11454545454545453
4,qui,hon,12,75,1.1579126971866605,0.006,40.13164470883894,0.599,0.00984375,0.7399411764705882
5,qui,tam,12,4,5.241656720989429,0.001,747.8049667664587,0.002,0.0022340425531914895,0.012352941176470587
6,qui,liz,12,6,3.0481974548967457,0.001,0.5281497774338971,0.534,0.0022340425531914895,0.6922222222222222
7,qui,ala,12,2,1.1319678565212874,0.033,370.06348602370093,0.105,0.04174698795180723,0.23457446808510637
8,qui,arc,12,20,1.5392492080827307,0.002,20.195193522833492,0.017,0.003888888888888889,0.07760869565217392
9,qui,pri,12,40,1.2814978032656985,0.006,7.205633274335261,0.596,0.00984375,0.7399411764705882
10,qui,san,12,4,1.007241643217169,0.302,86.5449519630602,0.515,0.302,0.6916875000000001
11,qui,hai,12,3,1.3302699949918766,0.001,271.27492299546316,0.014,0.0022340425531914895,0.06999999999999999
12,qui,flk,12,19,1.2055085365402396,0.001,6.6562251515300686,0.194,0.0022340425531914895,0.38433962264150945
13,qui,are,12,3,1.079908518581119,0.038,147.34157261759825,0.481,0.046941176470588236,0.6894078947368422
14,bel,boc,66,46,1.8488624597344296,0.001,7.361093590699958,0.044,0.0022340425531914895,0.132
15,bel,gun,66,16,1.2072040532008794,0.009,16.19050539384577,0.787,0.014104477611940298,0.8432142857142857
16,bel,bar,66,11,1.913366899879018,0.001,94.89464792683813,0.003,0.0022340425531914895,0.0175
17,bel,hon,66,75,1.8418472900303051,0.001,0.9696434772783673,0.36,0.0022340425531914895,0.6282786885245901
18,bel,tam,66,4,6.001350187720482,0.001,1387.4844334942711,0.001,0.0022340425531914895,0.008076923076923077
19,bel,liz,66,6,4.011044980806023,0.001,12.450161487898768,0.04,0.0022340425531914895,0.12352941176470587
20,bel,ala,66,2,1.1645168009614673,0.029,610.8452528695874,0.069,0.03713414634146342,0.19065789473684214
21,bel,arc,66,20,2.3760015592659753,0.001,1.9319530985845739,0.667,0.0022340425531914895,0.7733870967741936
22,bel,pri,66,40,2.129454611942542,0.001,1.406550668147109,0.475,0.0022340425531914895,0.6894078947368422
23,bel,san,66,4,1.0873128972237087,0.034,215.66711253059623,0.475,0.0425,0.6894078947368422
24,bel,hai,66,3,1.3755539933409306,0.002,491.23695172605557,0.001,0.003888888888888889,0.008076923076923077
25,bel,flk,66,19,1.6700308289342016,0.001,5.2408533550082534,0.798,0.0022340425531914895,0.8463636363636364
26,bel,are,66,3,1.1549716497413864,0.006,332.05622612253114,0.339,0.00984375,0.6244736842105264
27,boc,gun,46,16,1.2238978575187363,0.001,5.759232004524199,0.855,0.0022340425531914895,0.8801470588235294
28,boc,bar,46,11,1.9184794363243673,0.001,79.6360957856471,0.026,0.0022340425531914895,0.0975
29,boc,hon,46,75,1.5631100142485117,0.001,4.0516578923894455,0.334,0.0022340425531914895,0.6244736842105264
30,boc,tam,46,4,5.954525742032927,0.001,1617.5366514075088,0.001,0.0022340425531914895,0.008076923076923077
31,boc,liz,46,6,3.897037097240984,0.001,6.954410265724796,0.493,0.0022340425531914895,0.6894078947368422
32,boc,ala,46,2,1.164968918402786,0.002,735.2122236213394,0.022,0.003888888888888889,0.08884615384615384
33,boc,arc,46,20,2.3069000555640407,0.001,8.603826396045545,0.093,0.0022340425531914895,0.22193181818181817
34,boc,pri,46,40,2.144543108717924,0.001,0.19622036115065988,0.662,0.0022340425531914895,0.7733870967741936
35,boc,san,46,4,1.0916573387356618,0.017,237.09133919524282,0.685,0.02412162162162162,0.7733870967741936
36,boc,hai,46,3,1.3770600507850086,0.001,578.0953254786677,0.001,0.0022340425531914895,0.008076923076923077
37,boc,flk,46,19,1.7159304595757114,0.001,0.3598373445343798,0.979,0.0022340425531914895,0.979
38,boc,are,46,3,1.1971775024444486,0.001,371.5262510514995,0.105,0.0022340425531914895,0.23457446808510637
39,gun,bar,16,11,1.6265296766256048,0.001,15.284628248837603,0.077,0.0022340425531914895,0.202125
40,gun,hon,16,75,1.2739683927145014,0.001,14.595577103866388,0.813,0.0022340425531914895,0.85365
41,gun,tam,16,4,5.416528263482128,0.001,547.9863648966679,0.001,0.0022340425531914895,0.008076923076923077
42,gun,liz,16,6,3.2588910911111357,0.001,1.406189330180907,0.499,0.0022340425531914895,0.6894078947368422
43,gun,ala,16,2,1.1341695750307292,0.02,247.26987116801166,0.355,0.027631578947368424,0.6282786885245901
44,gun,arc,16,20,1.7293235645375873,0.001,9.902814893787431,0.033,0.0022340425531914895,0.11454545454545453
45,gun,pri,16,40,1.4777695344512751,0.002,2.467354667569802,0.753,0.003888888888888889,0.8246875
46,gun,san,16,4,1.0641159873657091,0.091,70.19765403514315,0.453,0.09953125,0.6894078947368422
47,gun,hai,16,3,1.3289512475407173,0.003,188.88195945696816,0.092,0.005526315789473685,0.22193181818181817
48,gun,flk,16,19,1.3768428519994325,0.001,1.1727937575829464,0.365,0.0022340425531914895,0.6282786885245901
