,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,gem,eco,3,3,2.169067329617573,0.091,82.85194773167191,0.096,0.126,0.1295
1,gem,abe,3,3,1.0723154670434918,0.12,0.68458064321244,0.091,0.126,0.1295
2,gem,esp,3,3,1.17059559240344,0.094,4.514881412828243,0.098,0.126,0.1295
3,gem,flo,3,3,1.801194985560039,0.11,78.97707719173434,0.102,0.126,0.1295
4,gem,ran,3,2,1.1655939520460485,0.109,61.06761467560881,0.405,0.126,0.405
5,gem,pue,3,3,1.051459228069886,0.094,7.297248106197142,0.1,0.126,0.1295
6,eco,abe,3,3,2.07462178858328,0.087,6067.168859717175,0.096,0.126,0.1295
7,eco,esp,3,3,2.40020127320327,0.105,1076.1819759845757,0.095,0.126,0.1295
8,eco,flo,3,3,0.9998462047727593,0.594,1.4162628012431737,0.405,0.594,0.405
9,eco,ran,3,2,1.9480870067883207,0.091,32235.43426605557,0.105,0.126,0.1295
10,eco,pue,3,3,1.883519518388518,0.099,2880.1596257200276,0.119,0.126,0.13152631578947369
11,abe,esp,3,3,1.1666498971101509,0.108,80.03702727103892,0.095,0.126,0.1295
12,abe,flo,3,3,1.719737484548354,0.112,426.0745651229803,0.103,0.126,0.1295
13,abe,ran,3,2,1.139306463690287,0.089,15932.179412046191,0.099,0.126,0.1295
14,abe,pue,3,3,1.0407573702162451,0.094,296.88757920837514,0.096,0.126,0.1295
15,esp,flo,3,3,1.997170239517616,0.115,485.1063303251997,0.108,0.126,0.1295
16,esp,ran,3,2,1.2648577263401999,0.105,325.8548912093533,0.076,0.126,0.1295
17,esp,pue,3,3,1.1560037260142388,0.1,203.0996816189108,0.089,0.126,0.1295
18,flo,ran,3,2,1.6563168045442467,0.114,1313.2387717789904,0.111,0.126,0.1295
19,flo,pue,3,3,1.5639293135754329,0.093,259.36708464742253,0.053,0.126,0.1295
20,ran,pue,2,3,1.1362261238289386,0.116,13207.811500334412,0.105,0.126,0.1295
