,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,ind,nig,12,12,2.831982866064837,0.001,18.84173937414304,0.001,0.0015,0.002625
1,ind,pue,12,12,2.4122045532888245,0.001,25.293254332363762,0.001,0.0015,0.002625
2,ind,gut,12,3,1.8051324013749293,0.006,53.68591360957521,0.005,0.0066315789473684215,0.007500000000000001
3,ind,uni,12,12,2.534382220132324,0.001,28.355144757027524,0.001,0.0015,0.002625
4,ind,abe,12,4,1.8180761585578853,0.001,19.086073712530876,0.261,0.0015,0.30450000000000005
5,ind,may,12,10,3.0628948527283684,0.001,0.3762251957936365,0.61,0.0015,0.6405000000000001
6,nig,pue,12,12,1.4239030952038023,0.001,4.612594545048398,0.004,0.0015,0.007
7,nig,gut,12,3,1.2640761067719186,0.002,1348.7929897453248,0.003,0.002625,0.006300000000000001
8,nig,uni,12,12,1.384160734601408,0.001,10.109145799359522,0.001,0.0015,0.002625
9,nig,abe,12,4,1.2189812760473824,0.001,779.1721206001334,0.001,0.0015,0.002625
10,nig,may,12,10,1.9610967813911693,0.001,22.20354368582117,0.001,0.0015,0.002625
11,pue,gut,12,3,1.1930227611377944,0.004,3540.756302270342,0.004,0.004666666666666667,0.007
12,pue,uni,12,12,1.116339896307375,0.001,2.163693743228771,0.092,0.0015,0.12075000000000001
13,pue,abe,12,4,1.0160990377726873,0.012,2501.7367336959287,0.725,0.012600000000000002,0.725
14,pue,may,12,10,1.6430349423312087,0.001,32.86165915103177,0.001,0.0015,0.002625
15,gut,uni,3,12,1.1227434871076911,0.002,3413.054072028551,0.005,0.002625,0.007500000000000001
16,gut,abe,3,4,1.1396001119125587,0.023,475.13597565061156,0.034,0.023,0.0476
17,gut,may,3,10,1.463281988735189,0.004,109.62474749277348,0.003,0.004666666666666667,0.006300000000000001
18,uni,abe,12,4,1.0685278548933128,0.001,2405.956097234802,0.477,0.0015,0.5272105263157895
19,uni,may,12,10,1.7047809475090538,0.001,37.54694975384609,0.001,0.0015,0.002625
20,abe,may,4,10,1.3490711255938626,0.001,43.321435161981775,0.207,0.0015,0.25570588235294117
