,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,nig,pue,11,12,1.668409226903939,0.001,166.3866086062906,0.001,0.003,0.005625
1,nig,uni,11,12,1.8752231280406197,0.001,39.994470439504006,0.001,0.003,0.005625
2,nig,gum,11,3,1.7058166338135567,0.009,2228.392507199024,0.003,0.011249999999999998,0.005625
3,nig,abe,11,3,1.309830754703252,0.004,478.1813065947104,0.003,0.006,0.005625
4,nig,aff,11,4,1.2734301987736438,0.001,1686.97092099833,0.002,0.003,0.005625
5,pue,uni,12,12,1.3291733812090512,0.001,3.05542585172867,0.027,0.003,0.045
6,pue,gum,12,3,1.4486825418825529,0.002,3297.8219496172273,0.002,0.004285714285714286,0.005625
7,pue,abe,12,3,1.0776258833261654,0.003,686.8662914866483,0.119,0.005625,0.14875
8,pue,aff,12,4,1.2049496899112861,0.002,3201.1523252857883,0.002,0.004285714285714286,0.005625
9,uni,gum,12,3,1.4508558300530476,0.004,750.4881703525298,0.003,0.006,0.005625
10,uni,abe,12,3,1.0884110812205143,0.005,337.4572335782473,0.646,0.006818181818181819,0.6921428571428572
11,uni,aff,12,4,1.2554946484938345,0.001,406.73687874826743,0.138,0.003,0.15923076923076923
12,gum,abe,3,3,1.2206409642211384,0.11,6.9394486604077485,0.042,0.11,0.05727272727272728
13,gum,aff,3,4,1.3788266287587314,0.031,148.90878660036466,0.034,0.03576923076923077,0.051000000000000004
14,abe,aff,3,4,1.0814352390200765,0.036,13.375408583253286,0.87,0.03857142857142857,0.87
