,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,abe,pue,3,3,1.0317989973576034,0.102,0.5924020309040513,0.062,0.121,0.12874999999999998
1,abe,nig,3,3,1.0297372532109657,0.102,1.2727409495056443,0.416,0.121,0.4622222222222222
2,abe,ind,3,3,1.5656744296511385,0.121,215.07338918784205,0.101,0.121,0.12874999999999998
3,abe,aff,3,3,1.0815855192514192,0.096,0.5327652516748637,0.1,0.121,0.12874999999999998
4,pue,nig,3,3,1.0319626191329172,0.089,0.019631961394841538,0.669,0.121,0.669
5,pue,ind,3,3,1.534019908818461,0.108,182.0510181283353,0.091,0.121,0.12874999999999998
6,pue,aff,3,3,1.0976464236116945,0.081,0.9202392254725262,0.103,0.121,0.12874999999999998
7,nig,ind,3,3,1.546206441330314,0.097,251.41107990138786,0.04,0.121,0.12874999999999998
8,nig,aff,3,3,1.0852093402972205,0.118,0.9067543495061328,0.092,0.121,0.12874999999999998
9,ind,aff,3,3,1.6480329469330242,0.092,30.564621585721014,0.1,0.121,0.12874999999999998
