,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,gum,ran,11,12,2.224004166081719,0.001,425.0866559198155,0.001,0.0013125,0.002625
1,gum,abe,11,11,2.0493982039730265,0.001,428.1447006663391,0.001,0.0013125,0.002625
2,gum,pue,11,12,2.2328425839846657,0.001,570.8401089495569,0.001,0.0013125,0.002625
3,gum,uni,11,11,2.2309992142954953,0.001,388.3376005541262,0.001,0.0013125,0.002625
4,gum,nig,11,12,2.202066602971346,0.001,653.2955687543852,0.001,0.0013125,0.002625
5,gum,pro,11,3,1.8082164019908828,0.004,1898.08023685283,0.006,0.004200000000000001,0.0105
6,ran,abe,12,11,1.0910760344743164,0.001,11.122613187422932,0.103,0.0013125,0.12016666666666667
7,ran,pue,12,12,1.1180390431945126,0.001,9.427315798671057,0.01,0.0013125,0.016153846153846154
8,ran,uni,12,11,1.1794937325896762,0.001,49.749454316601295,0.001,0.0013125,0.002625
9,ran,nig,12,12,1.1232304902068913,0.001,17.0382182972459,0.014,0.0013125,0.020999999999999998
10,ran,pro,12,3,1.2471235181617364,0.003,2850.160715391762,0.005,0.0035,0.0105
11,abe,pue,11,12,1.0697935739587292,0.001,0.6674730723632583,0.993,0.0013125,0.998
12,abe,uni,11,11,1.1290059055089559,0.001,21.19916264998451,0.001,0.0013125,0.002625
13,abe,nig,11,12,1.0780014347769293,0.001,0.034261059202388845,0.998,0.0013125,0.998
14,abe,pro,11,3,1.2189891532748887,0.003,5513.5738189728145,0.093,0.0035,0.11488235294117646
15,pue,uni,12,11,1.0692435251251304,0.001,44.22664119432111,0.006,0.0013125,0.0105
16,pue,nig,12,12,1.0812132758179167,0.001,2.0863108680649303,0.147,0.0013125,0.1624736842105263
17,pue,pro,12,3,1.2244481115401407,0.004,9224.374012169255,0.001,0.004200000000000001,0.002625
18,uni,nig,11,12,1.1189399310697534,0.001,52.409277662289455,0.03,0.0013125,0.039375
19,uni,pro,11,3,1.2751601952066707,0.009,11353.151862672154,0.006,0.009,0.0105
20,nig,pro,12,3,1.1925240887662996,0.001,23173.1495442058,0.015,0.0013125,0.020999999999999998
