,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,ind,tan,4,6,2.397292819917194,0.006,213.2917078600258,0.01,0.009000000000000001,0.049999999999999996
1,ind,chl,4,11,2.5963631618134886,0.002,762.5673464983312,0.249,0.0037500000000000003,0.3395454545454546
2,ind,pue,4,8,2.4206974483476866,0.004,478.53111716808655,0.004,0.006666666666666667,0.030000000000000002
3,ind,uni,4,8,2.387244555121839,0.001,448.5603663251614,0.003,0.0025,0.030000000000000002
4,ind,abe,4,2,1.9419015881189292,0.051,16.047084660742794,0.433,0.051,0.4639285714285714
5,tan,chl,6,11,1.1615946166757318,0.001,236.0359649440455,0.131,0.0025,0.245625
6,tan,pue,6,8,1.0875582980925564,0.001,91.44326322646377,0.071,0.0025,0.15428571428571428
7,tan,uni,6,8,1.141397398292346,0.001,63.70575302663804,0.31,0.0025,0.38749999999999996
8,tan,abe,6,2,1.067544941367887,0.049,1413.6391633448022,0.184,0.051,0.28350000000000003
9,chl,pue,11,8,1.041372244927103,0.002,63.92708595744806,0.704,0.0037500000000000003,0.704
10,chl,uni,11,8,1.1933817263469266,0.001,86.44220879092673,0.189,0.0025,0.28350000000000003
11,chl,abe,11,2,1.0346719543742036,0.013,6416.899698535356,0.04,0.017727272727272727,0.12000000000000001
12,pue,uni,8,8,1.0586910973269583,0.001,3.352807126963702,0.072,0.0025,0.15428571428571428
13,pue,abe,8,2,1.013406952681946,0.045,8338.11999830698,0.372,0.051,0.4292307692307692
14,uni,abe,8,2,1.05353203870901,0.025,5687.609216726979,0.022,0.03125,0.08249999999999999
