,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,bel,boc,4,3,1.040195886281197,0.017,23.586117223445886,1.0,0.051000000000000004,1.0
1,bel,gun,4,3,1.06716240943745,0.025,1932.1841976592098,0.03,0.062142857142857146,0.12375000000000001
2,bel,hon,4,11,1.0783189411774166,0.002,3034.3830869987346,0.191,0.030000000000000002,0.2604545454545455
3,bel,arc,4,3,1.132760836564121,0.029,3353.291895736339,0.033,0.062142857142857146,0.12375000000000001
4,bel,pri,4,2,1.0899662524963447,0.062,30346.611892199602,0.069,0.10392857142857143,0.1785
5,boc,gun,3,3,1.032962256357591,0.09,1.7472731032172442,0.112,0.10392857142857143,0.1785
6,boc,hon,3,11,0.998053882015286,0.588,769.9888186626089,0.95,0.588,1.0
7,boc,arc,3,3,1.0886544283207187,0.097,0.056305400401848504,0.817,0.10392857142857143,0.9426923076923076
8,boc,pri,3,2,1.0378701379292015,0.092,91.22719810802542,0.801,0.10392857142857143,0.9426923076923076
9,gun,hon,3,11,1.073384307783824,0.004,5230.988864430572,0.119,0.030000000000000002,0.1785
10,gun,arc,3,3,1.1360243457455157,0.097,86.64340581568746,0.107,0.10392857142857143,0.1785
11,gun,pri,3,2,1.0951032979547835,0.094,5278.517206283032,0.113,0.10392857142857143,0.1785
12,hon,arc,11,3,1.16016250667336,0.008,4823.281159539092,0.006,0.04,0.052500000000000005
13,hon,pri,11,2,1.0600675812744185,0.012,10869.438630175282,0.007,0.045,0.052500000000000005
14,arc,pri,3,2,1.0970872840922898,0.093,1746855.1983598305,0.097,0.10392857142857143,0.1785
