,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,bel,boc,12,11,1.6618314884788163,0.001,54.24016239687028,0.001,0.0033333333333333335,0.0025
1,bel,gun,12,3,1.1636557908326155,0.002,1463.2425267069177,0.001,0.0033333333333333335,0.0025
2,bel,hon,12,12,1.3410896568412307,0.001,0.026150026814036186,0.932,0.0033333333333333335,0.932
3,bel,qui,12,3,0.9911620002930811,0.863,1305.6748746389073,0.705,0.863,0.7833333333333332
4,boc,gun,11,3,1.2447448153361969,0.002,3981.8569169728403,0.002,0.0033333333333333335,0.0028571428571428576
5,boc,hon,11,12,1.6463823133177409,0.001,265.00522633418086,0.001,0.0033333333333333335,0.0025
6,boc,qui,11,3,1.2540977154522874,0.002,2999.7424961734378,0.002,0.0033333333333333335,0.0028571428571428576
7,gun,hon,3,12,1.0798814024853896,0.004,11877.990554530663,0.001,0.005714285714285715,0.0025
8,gun,qui,3,3,1.0709725454294903,0.091,0.6648539539849314,0.094,0.10111111111111111,0.1175
9,hon,qui,12,3,1.0851834203550326,0.005,7253.070379923897,0.002,0.0062499999999999995,0.0028571428571428576
