,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,qui,bel,3,12,1.009788943424465,0.061,3901.371183976913,0.013,0.08318181818181819,0.024375
1,qui,boc,3,12,1.0879889191984793,0.004,9711.111965672251,0.003,0.009000000000000001,0.012
2,qui,gun,3,3,1.0153756059604613,0.107,1.98067733286222,0.061,0.11352272727272728,0.08854838709677419
3,qui,bar,3,3,1.1511921363133746,0.102,47.29262634070184,0.047,0.11352272727272728,0.07200000000000001
4,qui,hon,3,12,1.0195470756018281,0.004,7866.1376428411895,0.021,0.009000000000000001,0.0378
5,qui,ala,3,2,1.1112501659563316,0.108,10642.957002786456,0.11,0.11352272727272728,0.12375000000000001
6,qui,arc,3,3,1.0740062269967203,0.102,14.049670769231263,0.093,0.11352272727272728,0.12375000000000001
7,qui,flk,3,4,1.0034936741793803,0.325,35.53702249356432,0.142,0.325,0.15214285714285714
8,qui,pri,3,8,1.1074992233670606,0.006,3387.8622192758057,0.01,0.01125,0.020454545454545454
9,bel,boc,12,12,1.2295851899733397,0.001,7.811139177314656,0.003,0.005,0.012
10,bel,gun,12,3,1.0549540668961972,0.003,3701.632821885022,0.009,0.007941176470588236,0.020454545454545454
11,bel,bar,12,3,1.2781200514165285,0.002,4418.376633178471,0.004,0.006923076923076924,0.012
12,bel,hon,12,12,1.13893607816731,0.001,6.831310885827904,0.004,0.005,0.012
13,bel,ala,12,2,1.1709332409503046,0.015,9451.300286361142,0.004,0.025,0.012
14,bel,arc,12,3,1.1686778532904587,0.002,3590.974518259353,0.005,0.006923076923076924,0.0140625
15,bel,flk,12,4,1.0609895483082536,0.003,236.32734808115129,0.107,0.007941176470588236,0.12375000000000001
16,bel,pri,12,8,1.3157736657130847,0.001,153.59975921342556,0.004,0.005,0.012
17,boc,gun,12,3,1.051074686807826,0.001,8056.174361677391,0.004,0.005,0.012
18,boc,bar,12,3,1.3285725065597866,0.006,10905.135939136744,0.002,0.01125,0.012
19,boc,hon,12,12,1.2335883420117337,0.001,48.33333687640123,0.001,0.005,0.012
20,boc,ala,12,2,1.2064287549544552,0.016,25508.052232875245,0.01,0.025714285714285714,0.020454545454545454
21,boc,arc,12,3,1.2241690783746175,0.001,8817.410475022449,0.004,0.005,0.012
22,boc,flk,12,4,1.1367743783842477,0.002,236.8961929809464,0.001,0.006923076923076924,0.012
23,boc,pri,12,8,1.4042370121062286,0.001,181.79077159084906,0.007,0.005,0.017499999999999998
24,gun,bar,3,3,1.1551573932430015,0.102,9.7458308039777,0.109,0.11352272727272728,0.12375000000000001
25,gun,hon,3,12,1.0263084217756553,0.002,6888.123687074665,0.488,0.006923076923076924,0.5106976744186046
26,gun,ala,3,2,1.1267857875168819,0.09,2555.876821164434,0.099,0.10945945945945947,0.12375000000000001
27,gun,arc,3,3,1.0877687734284385,0.083,14.659177039803991,0.109,0.10671428571428572,0.12375000000000001
28,gun,flk,3,4,1.0178758305928426,0.068,38.31912681510798,0.067,0.09000000000000001,0.09421875
29,gun,pri,3,8,1.1105622227367673,0.006,2999.0930089521344,0.01,0.01125,0.020454545454545454
30,bar,hon,3,12,1.2041484984931186,0.004,8822.070253190672,0.002,0.009000000000000001,0.012
31,bar,ala,3,2,1.2244011547260123,0.111,7420.074465262549,0.107,0.11352272727272728,0.12375000000000001
32,bar,arc,3,3,1.1455570536381459,0.109,102.67762520019201,0.048,0.11352272727272728,0.07200000000000001
33,bar,flk,3,4,1.12133935066186,0.02,47.221805828611636,0.027,0.03103448275862069,0.045
34,bar,pri,3,8,1.0495598109669981,0.011,3894.6285374291356,0.044,0.01903846153846154,0.07071428571428572
35,hon,ala,12,2,1.1584309286949785,0.008,19236.81441258656,0.012,0.0144,0.02347826086956522
36,hon,arc,12,3,1.1283003055780798,0.003,7205.560559504612,0.004,0.007941176470588236,0.012
37,hon,flk,12,4,1.0362171396637698,0.003,276.95000414356883,0.004,0.007941176470588236,0.012
38,hon,pri,12,8,1.2025131210271705,0.001,312.60461092378404,0.004,0.005,0.012
39,ala,arc,2,3,1.0957754311897743,0.09,9466.445755283788,0.106,0.10945945945945947,0.12375000000000001
40,ala,flk,2,4,1.0961794147965915,0.057,199.2796568616093,0.518,0.08015625,0.5297727272727273
41,ala,pri,2,8,1.1986109893793488,0.027,9744.674867686603,0.023,0.03919354838709677,0.03980769230769231
42,arc,flk,3,4,1.0375947017570843,0.021,29.806245437457928,0.839,0.03150000000000001,0.839
43,arc,pri,3,8,1.1513082206194747,0.005,3058.31461240821,0.006,0.010714285714285714,0.015882352941176472
44,flk,pri,4,8,1.1056912168931916,0.001,88.32213854800078,0.123,0.005,0.135
