,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
0,qui,bel,3,12,1.0150686844846029,0.076,2973.994343574405,0.037,0.076,0.06937499999999999
1,qui,boc,3,12,1.103128629669386,0.004,549.3297263787533,0.011,0.005,0.02357142857142857
2,qui,hon,3,11,1.0887801507472579,0.004,3113.3519438497165,0.001,0.005,0.007500000000000001
3,qui,flk,3,8,1.0789627516308793,0.005,1746.2941906457115,0.222,0.0057692307692307696,0.27749999999999997
4,qui,pri,3,8,1.0559477014847785,0.006,1129.6866682650405,0.064,0.0064285714285714285,0.096
5,bel,boc,12,12,1.2521193928296286,0.001,0.02293546610346983,0.983,0.0015,0.983
6,bel,hon,12,11,1.1437426569778877,0.001,34.64516328874861,0.052,0.0015,0.08666666666666667
7,bel,flk,12,8,1.205833394681868,0.001,151.57509720515247,0.003,0.0015,0.009000000000000001
8,bel,pri,12,8,1.175676293130895,0.001,236.49279076524496,0.008,0.0015,0.02
9,boc,hon,12,11,1.2423417132674708,0.001,4.210409613569202,0.346,0.0015,0.39923076923076917
10,boc,flk,12,8,1.351060162066448,0.001,21.176146938282532,0.405,0.0015,0.43392857142857144
11,boc,pri,12,8,1.3143009629344882,0.001,44.240412452267535,0.171,0.0015,0.2331818181818182
12,hon,flk,11,8,1.251526503748167,0.001,70.89898304065782,0.002,0.0015,0.009000000000000001
13,hon,pri,11,8,1.2492456947935384,0.001,145.3350822625037,0.003,0.0015,0.009000000000000001
14,flk,pri,8,8,1.2085360869108692,0.001,18.806383542623653,0.001,0.0015,0.007500000000000001
