"species1","species2","Jamaica - Guna Yala","Guna Yala","Bocas del Toro","Barbados","Florida Keys","Belize","Honduras Guanaja","Honduras Utila","Honduras Half-Moon Cay"
"puella","puella",75,65,58,8,2,1,29,35,0
"nigricans","nigricans",28,20,31,0,5,27,5,0,3
"unicolor","unicolor",16,1,10,NA,39,0,1,NA,1
"aberrans","aberrans",29,17,1,NA,NA,1,3,2,0
"indigo","indigo",25,1,NA,NA,NA,5,8,0,NA
"affinis","affinis",7,0,NA,NA,NA,0,NA,NA,NA
"guttavarius","guttavarius",2,NA,NA,0,NA,0,0,NA,NA
"puella","nigricans",0,0,1,0,0,0,1,0,0
"puella","unicolor",3,0,0,NA,0,0,0,NA,0
"puella","aberrans",1,1,0,NA,NA,0,1,1,0
"puella","indigo",0,0,NA,NA,NA,0,0,0,NA
"puella","affinis",0,0,NA,NA,NA,0,NA,NA,NA
"puella","guttavarius",0,NA,NA,0,NA,0,0,NA,NA
"nigricans","unicolor",0,0,0,NA,0,0,0,NA,0
"nigricans","aberrans",3,1,0,NA,NA,0,0,0,0
"nigricans","indigo",0,0,NA,NA,NA,0,0,1,NA
"nigricans","affinis",0,1,NA,NA,NA,0,NA,NA,NA
"nigricans","guttavarius",0,NA,NA,0,NA,0,0,NA,NA
"unicolor","aberrans",0,0,0,NA,NA,0,0,NA,0
"unicolor","indigo",0,0,NA,NA,NA,0,0,NA,NA
"unicolor","affinis",0,0,NA,NA,NA,NA,NA,NA,NA
"unicolor","guttavarius",0,NA,NA,NA,NA,0,0,NA,NA
"aberrans","indigo",0,0,NA,NA,NA,0,0,0,NA
"aberrans","affinis",0,0,NA,NA,NA,0,NA,NA,NA
"aberrans","guttavarius",0,NA,NA,NA,NA,0,0,NA,NA
"indigo","affinis",0,0,NA,NA,NA,0,NA,NA,NA
"indigo","guttavarius",0,NA,NA,NA,NA,0,0,NA,NA
"affinis","guttavarius",0,NA,NA,NA,NA,0,NA,NA,NA
"sp1","sp1",NA,NA,0,NA,1,NA,0,NA,NA
"gummigutta","gummigutta",NA,NA,0,NA,NA,NA,NA,NA,0
"puella","sp1",NA,NA,0,NA,0,NA,0,NA,NA
"puella","gummigutta",NA,NA,0,NA,NA,NA,NA,NA,0
"nigricans","sp1",NA,NA,0,NA,0,NA,0,NA,NA
"nigricans","gummigutta",NA,NA,0,NA,NA,NA,NA,NA,0
"unicolor","sp1",NA,NA,0,NA,0,NA,0,NA,NA
"unicolor","gummigutta",NA,NA,0,NA,NA,NA,NA,NA,0
"aberrans","sp1",NA,NA,0,NA,NA,NA,0,NA,NA
"aberrans","gummigutta",NA,NA,0,NA,NA,NA,NA,NA,0
"sp1","gummigutta",NA,NA,0,NA,NA,NA,NA,NA,NA
"chlorurus","chlorurus",NA,NA,NA,1,NA,NA,0,NA,NA
"puella","chlorurus",NA,NA,NA,0,NA,NA,0,NA,NA
"nigricans","chlorurus",NA,NA,NA,0,NA,NA,0,NA,NA
"guttavarius","chlorurus",NA,NA,NA,0,NA,NA,0,NA,NA
"gemma","gemma",NA,NA,NA,NA,17,NA,NA,NA,NA
"sp","sp",NA,NA,NA,NA,1,NA,NA,NA,NA
"puella","gemma",NA,NA,NA,NA,1,NA,NA,NA,NA
"puella","sp",NA,NA,NA,NA,0,NA,NA,NA,NA
"nigricans","gemma",NA,NA,NA,NA,0,NA,NA,NA,NA
"nigricans","sp",NA,NA,NA,NA,0,NA,NA,NA,NA
"unicolor","gemma",NA,NA,NA,NA,0,NA,NA,NA,NA
"unicolor","sp",NA,NA,NA,NA,0,NA,NA,NA,NA
"gemma","sp1",NA,NA,NA,NA,0,NA,NA,NA,NA
"gemma","sp",NA,NA,NA,NA,0,NA,NA,NA,NA
"sp1","sp",NA,NA,NA,NA,0,NA,NA,NA,NA
"unicolor","chlorurus",NA,NA,NA,NA,NA,NA,0,NA,NA
"aberrans","chlorurus",NA,NA,NA,NA,NA,NA,0,NA,NA
"indigo","chlorurus",NA,NA,NA,NA,NA,NA,0,NA,NA
"indigo","sp1",NA,NA,NA,NA,NA,NA,0,NA,NA
"guttavarius","sp1",NA,NA,NA,NA,NA,NA,0,NA,NA
"chlorurus","sp1",NA,NA,NA,NA,NA,NA,0,NA,NA
