Location,species,count
Jamaica - Guna Yala,puella,281
Jamaica - Guna Yala,nigricans,88
Jamaica - Guna Yala,unicolor,58
Jamaica - Guna Yala,aberrans,127
Jamaica - Guna Yala,indigo,85
Jamaica - Guna Yala,affinis,25
Jamaica - Guna Yala,guttavarius,7
Guna Yala,puella,371
Guna Yala,nigricans,50
Guna Yala,unicolor,32
Guna Yala,aberrans,112
Guna Yala,indigo,12
Guna Yala,affinis,1
Bocas del Toro,puella,506
Bocas del Toro,nigricans,259
Bocas del Toro,unicolor,23
Bocas del Toro,aberrans,2
Bocas del Toro,sp1,4
Bocas del Toro,gummigutta,2
Barbados,puella,129
Barbados,nigricans,19
Barbados,guttavarius,6
Barbados,chlorurus,22
Florida Keys,puella,22
Florida Keys,nigricans,17
Florida Keys,unicolor,204
Florida Keys,gemma,71
Florida Keys,sp1,3
Florida Keys,sp,2
Belize,puella,65
Belize,nigricans,126
Belize,unicolor,8
Belize,aberrans,3
Belize,indigo,23
Belize,affinis,1
Belize,guttavarius,1
Honduras Guanaja,puella,80
Honduras Guanaja,nigricans,21
Honduras Guanaja,unicolor,5
Honduras Guanaja,aberrans,0
Honduras Guanaja,indigo,22
Honduras Guanaja,guttavarius,1
Honduras Guanaja,chlorurus,1
Honduras Guanaja,sp1,9
Honduras Utila,puella,72
Honduras Utila,nigricans,0
Honduras Utila,aberrans,1
Honduras Utila,indigo,3
Honduras Half-Moon Cay,puella,96
Honduras Half-Moon Cay,nigricans,0
Honduras Half-Moon Cay,unicolor,9
Honduras Half-Moon Cay,indigo,3
Honduras Half-Moon Cay,gummigutta,10

