Species	spec	Color
H. aberrans	abe	#DFDF8D
H. affinis	aff	#FFB1D8
H. atlahua	atl	#5C7A1E
H. castroaguirrei	cas	#E3280D
H. chlorurus	chl	#8B4513
H. ecosur 	eco	#FFBF70
H. espinosai	esp	#E93E95
H. floridae	flo	#A155E7
H. gemma	gem	#1E90FF
H. gummigutta	gum	#F99729
H. guttavarius	gut	#FFEA00
H. indigo	ind	#22198E
H. liberte	lib	#C3A8DC
H. maya	may	#7196AE
H. nigricans	nig	#333333
H. providencianus	pro	#8BCF4C
H. puella	pue	#E48175
H. randallorum	ran	#8AC3BA
H. sp1	tan	#D2B48C
H. unicolor	uni	#B3B3B3
